ID,BT_1,BT_2,BT_3,BT_4,BT_5,Sup_BT,WonBT,WonRV,RV_1,RV_2,RV_3,RV_4,RV_5,Sup_RV,FECHA
2298,2,5,23,40,43,7,,,3,6,13,16,25,4,31/05/23
2297,6,10,21,24,33,2,,,5,8,9,24,41,7,27/05/23
2296,1,6,27,29,39,8,,,5,13,16,32,35,4,24/05/23
2295,3,4,23,35,42,7,,,3,7,20,25,33,1,20/05/23
2294,3,5,15,25,29,11,,,1,3,11,26,36,2,17/05/23
2293,6,14,33,35,39,14,,,18,30,33,34,37,8,13/05/23
2292,13,14,15,25,32,14,,,5,18,31,33,35,10,10/05/23
2291,8,26,27,28,42,7,,,4,10,17,23,32,2,6/05/23
2290,9,13,22,39,41,16,,,1,3,24,30,38,10,3/05/23
2289,7,20,26,33,39,7,,,3,14,19,34,39,12,29/04/23
2288,4,10,13,27,43,2,,,2,16,25,35,39,11,26/04/23
2287,17,18,32,37,43,6,,,3,12,15,28,40,1,22/04/23
2286,15,18,19,32,36,8,,,3,13,21,37,43,13,19/04/23
2285,19,21,28,29,30,12,,,5,26,33,37,43,4,15/04/23
2284,11,20,24,29,35,2,,,4,17,19,23,32,9,12/04/23
2283,3,5,12,19,20,5,,,10,27,32,40,42,14,8/04/23
2282,4,5,7,36,37,1,,cayo,4,5,18,22,29,2,5/04/23
2281,1,4,11,22,25,6,,,20,24,27,33,40,12,1/04/23
2280,21,22,23,31,39,6,,,14,16,24,29,30,3,29/03/23
2279,4,17,24,27,40,4,,,7,8,16,19,30,5,25/03/23
2278,1,16,21,34,35,14,,,2,20,23,27,37,8,22/03/23
2277,2,15,16,30,37,3,,,1,5,9,19,31,13,18/03/23
2276,2,4,18,23,39,5,,,3,7,16,33,34,3,15/03/23
2275,9,13,15,27,31,15,cayo,,3,7,24,33,40,14,11/03/23
2274,24,26,35,36,41,7,,,23,30,36,37,40,11,8/03/23
2273,4,5,12,24,33,12,,,1,5,11,28,31,15,4/03/23
2272,16,23,36,39,42,11,,,1,12,38,39,41,16,1/03/23
2271,12,14,20,32,35,9,,,20,26,29,37,38,12,25/02/23
2270,6,8,13,14,22,12,,,10,16,26,32,35,14,22/02/23
2269,7,20,25,30,38,4,,,5,7,10,13,31,14,18/02/23
2268,7,15,22,25,35,9,,,1,19,35,36,39,8,15/02/23
2267,8,11,17,29,42,13,,,7,20,25,26,30,11,11/02/23
2266,3,8,12,13,43,7,,,9,21,23,28,38,12,8/02/23
2265,1,10,14,32,39,10,,,5,6,18,26,42,9,4/02/23
2264,8,12,16,26,39,6,,,8,12,23,37,38,16,1/02/23
2263,2,14,15,28,40,5,,,8,18,27,40,42,8,28/01/23
2262,5,7,10,22,31,12,,,17,20,26,33,38,1,25/01/23
2261,2,7,12,21,37,9,,,6,11,13,16,42,12,21/01/23
2260,10,29,30,32,36,4,,,8,9,33,35,42,13,18/01/23
2259,2,23,25,33,34,10,,,4,8,21,36,43,8,14/01/23
2258,2,17,24,37,42,11,,,17,21,22,27,29,9,11/01/23
2257,17,25,32,33,40,3,,,11,17,33,34,40,9,7/01/23
2256,12,32,36,37,42,11,,,1,12,14,32,33,8,4/01/23
2255,3,11,27,31,32,12,,,14,25,32,33,39,12,31/12/22
2254,2,8,17,20,25,7,,,1,4,9,23,24,13,28/12/22
2253,7,9,23,37,40,14,,,16,26,27,36,42,11,24/12/22
2252,24,27,30,31,39,12,,,31,33,37,40,41,16,21/12/22
2251,1,10,12,39,40,14,,,21,26,34,37,42,16,17/12/22
2250,2,15,23,33,43,4,,,14,18,24,36,42,2,14/12/22
2249,6,9,28,35,41,7,,,4,7,21,22,36,10,10/12/22
2248,11,14,28,29,32,3,,,5,17,21,24,28,10,7/12/22
2247,14,19,21,32,33,1,,,5,11,12,13,34,3,3/12/22
2246,14,16,33,38,41,10,,,6,12,15,16,35,3,30/11/22
2245,4,9,30,31,34,16,,,8,20,21,29,38,11,26/11/22
2244,5,9,13,22,43,12,,cayo,6,11,18,28,43,4,23/11/22
2243,23,26,27,33,37,3,,,4,24,25,26,43,3,19/11/22
2242,7,9,17,38,39,9,,,5,9,16,25,26,10,16/11/22
2241,10,11,25,27,33,16,,,6,21,26,39,41,15,12/11/22
2240,5,14,17,31,34,3,,,2,7,12,26,43,4,9/11/22
2239,4,19,22,36,43,10,,,1,8,17,20,30,9,5/11/22
2238,20,28,30,31,36,8,,,5,15,19,33,43,8,2/11/22
2237,2,10,13,32,42,1,,,5,9,11,20,30,4,29/10/22
2236,9,12,16,17,21,14,,,18,32,33,40,41,10,26/10/22
2235,2,4,6,9,25,13,cayo,,2,5,14,30,36,12,22/10/22
2234,5,8,20,24,37,4,,,1,7,20,36,39,14,19/10/22
2233,9,21,24,39,40,12,,,3,14,35,36,37,8,15/10/22
2232,12,21,25,37,41,3,,,12,24,33,34,36,3,12/10/22
2231,1,3,15,19,29,13,,,10,17,31,36,41,14,8/10/22
2230,1,3,8,31,35,16,,,5,16,23,34,43,16,5/10/22
2229,3,5,28,37,42,15,,,3,5,15,22,42,2,1/10/22
2228,2,4,12,21,33,2,,,6,17,36,37,38,11,28/09/22
2227,5,8,19,30,33,1,,,11,16,32,34,37,5,24/09/22
2226,2,4,20,21,35,3,,,3,6,7,26,42,11,21/09/22
2225,3,25,30,33,34,1,,,9,10,18,29,32,4,17/09/22
2224,7,13,19,32,42,7,,,6,8,20,34,41,8,14/09/22
2223,3,9,10,19,35,8,,,12,18,32,34,43,4,10/09/22
2222,14,15,17,23,39,6,,,1,12,15,22,33,16,7/09/22
2221,2,5,23,27,36,12,,,4,9,26,33,41,3,3/09/22
2220,15,16,26,34,39,6,,,4,12,17,19,42,14,31/08/22
2219,1,13,16,22,25,8,,,1,26,27,35,43,11,27/08/22
2218,14,18,21,26,36,7,,,2,6,24,32,40,5,24/08/22
2217,12,14,15,20,43,10,,,1,6,34,37,39,4,20/08/22
2216,3,8,15,22,33,13,,,3,7,20,31,35,7,17/08/22
2215,5,6,18,19,24,9,cayo,,1,8,10,22,25,4,13/08/22
